id,name
716,Mercer St & Spring St
717,Fulton St & Clermont Ave
718,64 St & 53 Dr
719,Central Ave & Himrod St
720,88 St & Astoria Blvd
721,51 Ave & Alstyne Ave
722,Rockaway Ave & Bainbridge St
723,103 St & Martense Ave
724,Grand Army Plaza & Plaza St West
725,Lafayette St & Grand St
726,46 St & 25 Ave
727,Kingsbridge Terrace & W 230 St
728,55 St & 7 Ave
729,Church Ave & E 45 St
730,46 St & 7 Ave
731,Madison St & Clinton St
732,Pitt St & Stanton St
733,Fulton Ave & E 168 St
734,Prospect Ave & Vanderbilt St
735,Albany Ave & Carroll St
736,Sumpter St & Fulton St
737,100 St & Northern Blvd
738,5 Ave & E 63 St
739,41 Ave & 67 St
740,60 Pl & Bleecker St
741,77 St & 31 Ave
742,St Marks Ave & Rochester Ave
743,E 138 St & Grand Concourse
744,Audubon Ave & W 179 St
745,76 St & 21 Ave
746,84 St & Roosevelt Ave
747,Shore Blvd & Astoria Park
748,Grand Concourse & E 205 St
749,Bergen St & Troy Ave
750,56 Dr & 59 St
751,112 St & Northern Blvd
752,University Ave & W 168 St
753,Morgan Bike Mechanics
754,Church St & Worth St
755,Hart St & Wyckoff Ave
756,St Nicholas Ave & W 126 St
757,3 St & 7 Ave
758,Bedford Ave & Albemarle Rd
759,Wales Ave & E 147 St
760,Tibbett Ave & W 234 St
761,Flushing Ave & Woodward Ave
762,Onderdonk Ave & Gates Ave
763,4 Ave & 17 St
764,Amsterdam Ave & W 175 St
765,100 St & Humphreys St
766,W 148 St & Amsterdam Ave
767,Bayard St & Leonard St
768,3 Ave & Wakeman Pl
769,39 St & 47 Ave
770,Hudson Blvd W & W 36 St
771,Frederick Douglass Blvd & W 145 St
772,Melrose Ave & E 154 St
773,Madison St & Seneca Ave
774,Church Ave & Nostrand Ave
775,Roosevelt Island Tramway
776,Dock St & Front St
777,91 St & 31 Ave
778,E 11 St & Broadway
779,Morris Ave & E 153 St
780,Front St & Jay St
781,98 St & 41 Ave
782,Broadway & W 142 St
783,Southern Blvd & E 180 St
784,Featherbed Ln & Jerome Ave
785,New York Ave & Snyder Ave
786,St Nicholas Terrace & Convent Ave
787,Sedgwick Ave & W Burnside Ave
788,E 176 St & Clinton Ave
789,31 Ave & Steinway St
790,Maurice Ave & 53 Dr
791,E 45 St & 3 Ave
792,Crescent St & Broadway
793,Grand Concourse & E 156 St
794,Lenox Ave & W 117 St
795,Lenox Ave & W 130 St
796,Goulden Ave & W 197 St
797,55 Ave & 90 St
798,Cypress Hills St & Otto Rd
799,3 Ave & Franklin Ave
800,Forley St & Lamont Ave
801,Nagle Ave & Thayer St
802,Elmhurst Ave & Forley St
803,Decatur Ave & E 197 St
804,Brooklyn Ave & Tilden Ave
805,Paul Ave & W 205 St
806,Albemarle Rd & McDonald Ave
807,Park Pl & Buffalo Ave
808,Walton Ave & E 153 St
809,Hazen St & 20 Ave
810,Broadway & W 185 St
811,College Ave & E 169 St
812,34 Ave & 108 St
813,59 St & 4 Ave
814,Bedford Ave & Beverley Rd
815,6 Ave & 55 St
816,Cortelyou Rd & Argyle Rd
817,60 St & 37 Ave
818,Bergen St & Saratoga Ave
819,Stuyvesant Ave & Gates Ave
820,Washington Ave & Empire Blvd
821,91 St & 23 Ave
822,Cooper Ave & 65 Pl
823,23 Ave & 83 St
824,Jerome Ave & Anderson Ave
825,34 Ave & Junction Blvd
826,Columbia St & W 9 St
827,Cortelyou Rd & Albany Ave
828,99 St & 32 Ave
829,Rugby Rd & Albemarle Rd
830,Goulden Ave & Bedford Park Blvd
831,95 St & 35 Ave
832,3 Ave & E 174 St
833,E 138 St & 5 Ave
834,Corona Ave & 111 St
835,56 Dr & 61 St
836,108 St & 39 Ave
837,Bailey Ave & W 229 St
838,Buchanan Pl & Grand Ave
839,Morris Ave & E 142 St
840,33 St & Queens Blvd
841,34 St & 48 Ave
842,Jerome Ave & E 181 St
843,Prospect Ave & Longwood Ave
844,57 St & Grand Ave
845,25 Ave & 96 St
846,40 St & 3 Ave
847,E 182 St & Park Ave
848,52 St & 1 Ave
849,Sterling Pl & Rochester Ave
850,Morris Ave & E 171 St
851,E 50 St & Park Ave
852,E 16 St & 5 Ave
853,Stanton St & Norfolk St
854,Norfolk St & Broome St
855,W 56 St & 8 Ave
856,Wilson Ave & Troutman St
857,Jay St & York St
858,62 St & Northern Blvd
859,52 St & 6 Ave
860,S 3 St & Bedford Ave
861,Hudson St & Reade St
862,Grand Concourse & E 176 St
863,Webster Ave & Ford St
864,Suydam St & Broadway
865,Warren St & Smith St
866,Kent Ave & Division Ave
867,College Ave & E 170 St
868,Waverly Ave & Lafayette Ave
869,36 St & Ditmars Blvd
870,Centre St & Worth St
871,30 Ave & 41 St
872,E 118 St & 3 Ave
873,Congress St & Clinton St
874,W 89 St & Columbus Ave
875,34 Ave & 48 St
876,Water St & Gouverneur Ln
877,48 St & 2 Ave
878,Sterling Pl & Ralph Ave
879,Eastern Pkwy & Troy Ave
880,Monroe St & Patchen Ave
881,51 St & 43 Ave
882,E 91 St & Park Ave
883,Queens Blvd & 56 St
884,E 103 St & 2 Ave
